,Cup,Knockout,Laps,Teams,TimeAttack,Rounds,RoyalTimeAttack,TMWTTeams,TMWTMatchmaking,TeamsMatchmaking,TimeAttackDaily,KnockoutDaily,COTDQualifications,CupClassic,ChampionSpring2022,MultiTeams,HeadToHead,Final42TMGL
S_BalanceScore,,,,,,,,,,1,,,,,,,,
S_BasicAuthHeader,,,,,,,,,,,1,,1,,,,,
S_BestLapBonusPoints,,,,,,,,,,,,,,,,,,
S_Bots_Clan,,,,,,,,,,1,,,,,,,,
S_Bots_EnablePlaying,,,,,,,,,,1,,,,,,,,
S_Bots_EnableRecording,,,,,,,,,,1,,,,,,,,
S_Bots_GhostDBId,,,,,,,,,,1,,,,,,,,
S_Bots_GhostsPerBot,,,,,,,,,,1,,,,,,,,
S_Bots_LevelRange,,,,,,,,,,1,,,,,,,,
S_Bots_LevelShift,,,,,,,,,,1,,,,,,,,
S_Bots_PBMultiplier,,,,,,,,,,1,,,,,,,,
S_ChatTime,1,1,1,1,1,1,1,1,1,1,,1,,1,1,,1,1
S_ClubId,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
S_ClubName,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
S_CompetitionName,,,,,,,,,,,,1,,1,1,,,
S_CumulatePoints,,,,1,,,,,,1,,,,,,,,
S_CupPointsLimit,,,,,,,,,,,,,,1,1,,,
S_DecoImageUrl_Checkpoint,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
S_DecoImageUrl_DecalSponsor4x1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
S_DecoImageUrl_Screen16x1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1
S_DecoImageUrl_Screen16x9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1
S_DecoImageUrl_Screen8x1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1
S_DecoImageUrl_WhoAmIUrl,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
S_DelayBeforeNextMap,1,1,1,1,1,1,1,,,,,1,,,,,,
S_DisableGiveUp,,,1,,,,,,,,,,,,,,,
S_DisableGoToMap,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
S_Division,,,,,,,,,,,,1,,,,,,
S_EarlyEndMatchCallback,,1,,,,,,1,1,1,,1,,1,1,,,
S_EliminatedPlayersNbRanks,,1,,,,,,,,,,1,,,,,,
S_EnableAmbientSound,,,,,,,,,,,,,,1,1,,1,1
S_EnableDossardColor,,,,,,,,1,,,,,,,,,,
S_EnableJoinLeaveNotifications,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
S_EnableWinScreen,,,,,,,,,,,,,,1,1,,1,1
S_FinalistsAccountIds,,,,,,,,,,,,,,,,,1,1
S_FinishTimeout,1,1,1,1,,1,,1,1,1,,1,,1,1,1,1,1
S_FinishTimeoutDivider,,,,,,,,,,1,,,,,,,,
S_ForceLapsNb,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1
S_ForceRoadSpectatorsNb,,,,,,,,1,,,,,,1,1,,1,1
S_InfiniteLaps,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
S_IntroMaxDuration,,,,,,,,,,,1,,1,,,,,
S_IsChannelServer,1,1,1,1,1,1,1,,,,,1,,,,,,
S_IsMatchmaking,,,,,,,,1,,,,,,,,,,
S_IsSplitScreen,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
S_KOCheckpointNb,,,,,,,,,,,,,,1,1,,1,1
S_KOCheckpointTime,,,,,,,,,,,,,,1,1,,1,1
S_KOValidationDelay,,,,,,,,,,,,,,1,1,,1,1
S_LoadingScreenImageUrl,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
S_LogLevel,,,,,,,,,,,1,,,,,,,
S_MapPointsLimit,,,,,,,,1,1,,,,,,,,1,1
S_MapsPerMatch,,,,1,,1,,,,1,,,,,,1,,
S_MatchId,,,,,,,,,1,1,,,,,,,,
S_MatchInfo,,,,,,,,1,,,,,,,,,,
S_MatchmakingId,,,,,,,,,1,1,,,,,,,,
S_MatchPointsLimit,,,,,,,,1,1,,,,,1,1,,1,1
S_MatchPosition,,1,,,,,,,,,,1,,,,,,
S_MaxPointsPerRound,,,,1,,,,,,1,,,,,,,,
S_NbOfWinners,1,,,,,,,,,,,,,1,1,,1,1
S_NeutralEmblemUrl,1,1,1,1,1,1,1,,,,,1,,,,,,
S_NoRoundTie,,,,,,,,,,1,,,,,,,,
S_OverridePlayerProfiles,,,,,,,,,,,,,,1,1,,1,1
S_PickAndBan_Enable,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
S_PickAndBan_Style,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
S_PlayerPartition,,,,,,,,,,,1,,1,,,,,
S_PointsGap,,,,1,,,,,,1,,,,,,,,
S_PointsLimit,1,,,1,,1,,,,1,,,,,,1,,
S_PointsRepartition,1,1,,1,,1,,,,1,,1,,1,1,,1,1
S_PointsRepartition1VS,,,,,,,,,,1,,,,,,,,
S_PointsRepartition2VS,,,,,,,,,,1,,,,,,,,
S_QualificationsEndTime_MinMargin,,,,,,,,,,,1,,,,,,,
S_RankedCompetitionType,,,,,,,,,,,1,1,1,,,,,
S_RespawnBehaviour,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
S_RoundsPerMap,1,1,,1,,1,,,,1,,1,,1,1,1,,
S_RoundsWithoutElimination,,1,,,,,,,,,,1,,,,,,
S_ScriptEnvironment,1,1,1,1,1,1,1,,,1,1,1,,,,,,
S_SeasonIds,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
S_SponsorsUrl,,,,,,,,1,,,,,,1,1,,,
S_SynchronizePlayersAtMapStart,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
S_SynchronizePlayersAtRoundStart,1,1,1,1,1,1,,,,1,,1,,,,,1,1
S_TeamsNb,,,,,,,,,,,,,,,,1,,
S_TeamsUrl,,,,,,,,1,1,,,,,,,,,
S_TimeLimit,,,1,,1,,1,,,,1,,1,,,,,
S_TrustClientSimu,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
S_UseAlternateRules,,,,1,,,,,,1,,,,,,,,
S_UseClublinks,1,1,1,1,1,1,1,,,,,1,,,,,,
S_UseClublinksSponsors,1,1,1,1,1,1,1,,,,,1,,,,,,
S_UseCrudeExtrapolation,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
S_UseCustomPointsRepartition,,,,1,,,,,,1,,,,,,,,
S_UseTieBreak,,,,1,,,,,,1,,,,,,1,,
S_WarmUpDuration,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1
S_WarmUpNb,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1
S_WarmUpTimeout,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1
S_WorldRecords,,,,,,,,,,,,,,,,,1,1
